Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,943.57,965.26,892.95,895.37,2545260000.00,92206500000
19-Feb-18,921.67,957.78,921.55,943.87,2169020000.00,90047700000
18-Feb-18,973.35,982.93,915.45,923.92,2567290000.00,95077100000
17-Feb-18,944.75,976.6,940.75,974.12,2525720000.00,92264000000
16-Feb-18,934.79,950,917.85,944.21,2369450000.00,91272100000
15-Feb-18,923.73,951.95,911.11,936.98,2900100000.00,90173300000
14-Feb-18,844.28,926.43,844.28,923.56,2818370000.00,82400600000
13-Feb-18,869.29,870.71,828.84,845.26,2081170000.00,84824200000
12-Feb-18,817.51,875.94,817.51,868.71,2243450000.00,79754400000
11-Feb-18,859.29,859.29,788.22,814.66,2486650000.00,83813000000
10-Feb-18,882.47,917.4,825.58,860.41,2930530000.00,86055600000
9-Feb-18,818.48,884,788.83,883.87,2495820000.00,79799300000
8-Feb-18,755.84,845.09,755.84,817.81,3708190000.00,73676900000
7-Feb-18,790.43,851.2,723.43,757.07,3896180000.00,77032000000
6-Feb-18,707.74,796.44,574.42,793.12,6518270000.00,68958700000
5-Feb-18,834.96,856.65,644.6,697.95,4269530000.00,81337400000
4-Feb-18,964.67,969.03,805.06,834.68,2997090000.00,93953400000
3-Feb-18,919.21,991.94,847.69,964.02,3243480000.00,89507600000
2-Feb-18,1035.77,1035.77,757.98,915.78,6713290000.00,1.00836E+11
1-Feb-18,1119.37,1161.35,984.82,1036.79,5261680000.00,1.08952E+11
31-Jan-18,1071.09,1128.66,1034.5,1118.31,3757560000.00,1.04231E+11
30-Jan-18,1184.13,1184.63,1058.97,1071.13,4107860000.00,1.15207E+11
29-Jan-18,1246.7,1256.7,1169.08,1182.36,3715080000.00,1.21269E+11
28-Jan-18,1111.78,1257.77,1111.78,1246.01,5372330000.00,1.08122E+11
27-Jan-18,1055.75,1121.98,1042.12,1107.07,3002870000.00,1.02651E+11
26-Jan-18,1052.7,1080.6,996.78,1055.17,3617690000.00,1.02334E+11
25-Jan-18,1063.22,1104.66,1034.74,1056.03,4050190000.00,1.03335E+11
24-Jan-18,987.48,1062.44,965.81,1058.78,3944040000.00,95952700000
23-Jan-18,1004.17,1023.23,920.54,986.23,3556700000.00,97554300000
22-Jan-18,1055.35,1089.1,930.74,1003.26,3810100000.00,1.02504E+11
21-Jan-18,1155.68,1155.68,1021.5,1049.58,3378090000.00,1.12226E+11
20-Jan-18,1044.95,1167.11,1044.95,1155.15,3975190000.00,1.01451E+11
19-Jan-18,1028.82,1093.22,1003.71,1039.1,4084450000.00,99863900000
18-Jan-18,1016.44,1100.31,967.76,1036.28,5938320000.00,98642100000
17-Jan-18,1061.34,1090.23,780.92,1014.25,8545160000.00,1.02974E+11
16-Jan-18,1292.63,1292.63,875.54,1053.69,8405140000.00,1.25389E+11
15-Jan-18,1365.21,1390.59,1290.6,1291.92,4781100000.00,1.32404E+11
14-Jan-18,1397.48,1400.56,1286.21,1366.77,4841630000.00,1.35503E+11
13-Jan-18,1270.47,1432.88,1270.47,1396.42,5746760000.00,1.23163E+11
12-Jan-18,1158.29,1296.04,1120.09,1273.2,5222300000.00,1.12263E+11
11-Jan-18,1268.09,1337.3,1135.17,1154.93,7235900000.00,1.22879E+11
10-Jan-18,1300.34,1417.38,1226.6,1255.82,9214950000.00,1.25976E+11
9-Jan-18,1146,1320.98,1145.49,1299.74,7965460000.00,1.10999E+11
8-Jan-18,1158.26,1266.93,1016.05,1148.53,8450970000.00,1.12164E+11
7-Jan-18,1043.01,1153.17,1043.01,1153.17,5569880000.00,1.00981E+11
6-Jan-18,995.15,1060.71,994.62,1041.68,4662220000.00,96326500000
5-Jan-18,975.75,1075.39,956.33,997.72,6683150000.00,94423900000
4-Jan-18,961.71,1045.08,946.09,980.92,6502860000.00,93049400000
3-Jan-18,886,974.47,868.45,962.72,5093160000.00,85703500000
2-Jan-18,772.35,914.83,772.35,884.44,5783350000.00,74695700000
1-Jan-18,755.76,782.53,742,772.64,2595760000.00,73075800000
31-Dec-17,712.21,760.35,710.12,756.73,2554270000.00,68850800000
30-Dec-17,753.82,753.82,685.23,717.26,3187780000.00,72856900000
29-Dec-17,740.39,770.12,729.61,753.59,2648970000.00,71544300000
28-Dec-17,762.21,763.32,701.19,737.02,2389150000.00,73637100000
27-Dec-17,774.97,789.25,738.41,762.84,2100030000.00,74854100000
26-Dec-17,763.37,786.79,760.93,773.84,2201160000.00,73717800000
25-Dec-17,698.87,782.52,698.87,765.83,2491760000.00,67475100000
24-Dec-17,721.77,721.77,614.92,694.15,2300550000.00,69671200000
23-Dec-17,681.32,763.89,679.73,719.39,2480340000.00,65752100000
22-Dec-17,822.64,827.68,543.76,674.86,4977710000.00,79374400000
21-Dec-17,820.24,880.54,792.69,821.06,3569060000.00,79125300000
20-Dec-17,827.52,845.06,756,819.09,3969940000.00,79810600000
19-Dec-17,793.9,881.94,785.34,826.82,4096550000.00,76552200000
18-Dec-17,721.73,803.93,689.23,794.64,3249230000.00,69578400000
17-Dec-17,696.24,735.83,696.24,719.98,2147390000.00,67106400000
16-Dec-17,686.19,718.38,680.79,696.21,2165690000.00,66124200000
15-Dec-17,696.38,697.13,621.06,684.45,2758710000.00,67090900000
14-Dec-17,700.59,753.12,664.99,695.82,3821580000.00,67482900000
13-Dec-17,644.91,747.99,597.8,702.77,4524540000.00,62105600000
12-Dec-17,522.29,657.32,504.49,651.43,5179830000.00,50286400000
11-Dec-17,440.36,516.97,439.1,515.14,1771440000.00,42389300000
10-Dec-17,472.79,472.79,429.51,441.72,1404180000.00,45501400000
9-Dec-17,457.34,504.15,456.25,473.5,2003850000.00,44005600000
8-Dec-17,434.99,466.06,422.37,456.03,2336380000.00,41845800000
7-Dec-17,426.37,441.4,414.41,434.41,2129570000.00,41007600000
6-Dec-17,462.6,462.71,420.21,428.59,1998260000.00,44483100000
5-Dec-17,470.29,473.56,457.66,463.28,1216720000.00,45212800000
4-Dec-17,466.05,474.78,453.31,470.2,1005550000.00,44795700000
3-Dec-17,463.7,482.81,451.85,465.85,990557000.00,44560500000
2-Dec-17,466.85,476.24,456.65,463.45,943650000.00,44853300000
1-Dec-17,445.21,472.61,428.31,466.54,1247880000.00,42765000000
30-Nov-17,431.21,465.5,401.24,447.11,1903040000.00,41411900000
29-Nov-17,473.28,522.31,425.07,427.52,2675940000.00,45442100000
28-Nov-17,480.52,482.48,466.35,472.9,1346500000.00,46127200000
27-Nov-17,471.53,493.4,468.49,480.36,1396480000.00,45255000000
26-Nov-17,465.97,472.72,451.61,471.33,1197780000.00,44712100000
25-Nov-17,475.68,485.19,461.05,466.28,1422080000.00,45633400000
24-Nov-17,412.5,480.97,402.76,474.91,2292830000.00,39564300000
23-Nov-17,381.44,425.55,376.09,410.17,1845680000.00,36577300000
22-Nov-17,360.31,381.42,360.15,380.65,800819000.00,34544000000
21-Nov-17,367.44,372.47,350.69,360.4,949912000.00,35220200000
20-Nov-17,354.09,372.14,353.29,366.73,807027000.00,33933400000
19-Nov-17,347.4,371.29,344.74,354.39,1181530000.00,33284900000
18-Nov-17,331.98,349.62,327.69,347.61,649639000.00,31800700000
17-Nov-17,330.17,334.96,327.52,332.39,621733000.00,31620300000
16-Nov-17,333.44,336.16,323.61,330.92,797254000.00,31927300000
15-Nov-17,337.96,340.91,329.81,333.36,722666000.00,32353200000
14-Nov-17,316.76,340.18,316.76,337.63,1069680000.00,30317300000
13-Nov-17,307.02,328.42,307.02,316.72,1041890000.00,29379000000
12-Nov-17,314.69,319.15,298.51,307.91,1613480000.00,30106200000
11-Nov-17,298.59,319.45,298.19,314.68,842301000.00,28559400000
10-Nov-17,320.67,324.72,294.54,299.25,885986000.00,30665200000
9-Nov-17,308.64,329.45,307.06,320.88,893250000.00,29509000000
8-Nov-17,294.27,318.7,293.1,309.07,967956000.00,28128700000
7-Nov-17,298.57,304.84,290.77,294.66,540766000.00,28533300000
6-Nov-17,296.43,305.42,293.72,298.89,579359000.00,28322700000
5-Nov-17,300.04,301.37,295.12,296.26,337658000.00,28661500000
4-Nov-17,305.48,305.48,295.8,300.47,416479000.00,29175300000
3-Nov-17,288.5,308.31,287.69,305.71,646340000.00,27547400000
2-Nov-17,290.73,293.91,281.17,287.43,904901000.00,27754200000
1-Nov-17,305.76,306.4,290.58,291.69,553864000.00,29183600000
31-Oct-17,307.38,310.55,305.88,305.88,369583000.00,29331500000
